City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kodiak,US,57.79,-152.41,60.8,72,20,6.73,few clouds
1,Maxixe,MZ,-23.86,35.35,59.95,81,0,0.67,clear sky
2,Puerto Ayora,EC,-0.74,-90.35,64.99,97,77,8.72,broken clouds
3,Yumen,CN,40.28,97.2,80.85,22,0,8.5,clear sky
4,Nelson Bay,AU,-32.72,152.15,62.6,36,0,26.4,clear sky
5,Rikitea,PF,-23.12,-134.97,67.21,75,100,19.3,overcast clouds
6,Bluff,NZ,-46.6,168.33,57.0,74,89,10.0,overcast clouds
7,Busselton,AU,-33.65,115.33,63.0,54,17,11.88,few clouds
8,Tirumullaivasal,IN,11.23,79.83,86.16,69,87,11.39,moderate rain
9,Tiksi,RU,71.69,128.87,41.72,90,100,2.86,light rain
10,Esperance,AU,-33.87,121.9,62.6,72,75,13.87,broken clouds
11,Butaritari,KI,3.07,172.79,83.08,67,98,7.9,overcast clouds
12,Agadir,MA,30.42,-9.6,71.6,78,85,5.82,overcast clouds
13,Barrow,US,71.29,-156.79,41.0,86,90,23.04,mist
14,Vaini,TO,-21.2,-175.2,80.6,83,20,11.41,few clouds
15,Dikson,RU,73.51,80.55,48.51,74,87,9.1,overcast clouds
16,Inongo,CD,-1.95,18.27,67.82,92,100,3.44,overcast clouds
17,Jieshi,CN,22.81,115.83,85.35,67,41,5.17,scattered clouds
18,Hailar,CN,49.2,119.7,59.9,94,100,4.25,moderate rain
19,Maria Chiquita,PA,9.44,-79.76,77.0,94,20,5.01,few clouds
20,Henties Bay,NA,-22.12,14.28,60.01,63,0,6.89,clear sky
21,Mataura,NZ,-46.19,168.86,57.0,75,91,7.0,overcast clouds
22,Klaksvik,FO,62.23,-6.59,44.6,75,93,14.99,overcast clouds
23,Hasaki,JP,35.73,140.83,81.0,88,75,4.7,light intensity shower rain
24,Ixtapa,MX,20.7,-105.2,78.01,94,90,11.41,very heavy rain
25,Rocha,UY,-34.48,-54.33,42.33,74,0,6.6,clear sky
26,Coari,BR,-4.08,-63.14,69.94,63,0,2.08,clear sky
27,Nome,US,64.5,-165.41,53.6,93,90,9.17,mist
28,Ushuaia,AR,-54.8,-68.3,39.2,44,15,8.05,few clouds
29,Albany,US,42.6,-73.97,72.0,71,0,2.06,clear sky
30,Sladkovo,RU,55.53,70.34,55.49,90,100,8.39,overcast clouds
31,Bredasdorp,ZA,-34.53,20.04,50.0,87,19,8.05,few clouds
32,Hengyang,CN,26.89,112.61,92.17,57,15,3.62,few clouds
33,Luanda,AO,-8.84,13.23,71.6,94,75,2.24,broken clouds
34,Punta Arenas,CL,-53.15,-70.92,33.8,86,0,17.22,clear sky
35,Kahului,US,20.89,-156.47,87.8,55,40,18.34,scattered clouds
36,Scicli,IT,36.79,14.7,73.0,82,0,3.36,clear sky
37,Jamestown,US,42.1,-79.24,69.8,68,1,2.66,clear sky
38,Hermanus,ZA,-34.42,19.23,46.0,90,16,8.41,few clouds
39,Cape Town,ZA,-33.93,18.42,45.0,93,21,3.36,few clouds
40,Shelburne,CA,44.08,-80.2,64.99,93,75,2.06,broken clouds
41,Sterlitamak,RU,53.62,55.95,54.5,81,8,4.36,clear sky
42,Sobolevo,RU,54.43,31.9,53.51,88,94,8.01,overcast clouds
43,Hilo,US,19.73,-155.09,82.4,69,90,6.93,overcast clouds
44,Ancud,CL,-41.87,-73.82,48.0,100,75,10.29,broken clouds
45,Geraldton,AU,-28.77,114.6,66.2,72,75,10.29,broken clouds
46,Erzin,TR,36.96,36.2,79.0,37,0,3.0,clear sky
47,Hobart,AU,-42.88,147.33,54.0,66,75,12.75,shower rain
48,Abu Kamal,SY,34.45,40.92,78.13,36,0,20.42,clear sky
49,Shingu,JP,33.73,135.98,87.8,62,75,6.93,broken clouds
50,Cidreira,BR,-30.18,-50.21,54.07,78,0,7.72,clear sky
51,Khatanga,RU,71.97,102.5,63.84,47,3,9.44,clear sky
52,Aklavik,CA,68.22,-135.01,62.6,59,20,6.93,few clouds
53,Muisne,EC,0.6,-80.03,72.95,88,99,9.51,overcast clouds
54,Agirish,RU,61.92,63.02,54.68,72,0,8.23,clear sky
55,Almeirim,BR,-1.52,-52.58,75.42,82,7,1.54,clear sky
56,Georgetown,MY,5.41,100.34,87.8,70,20,8.05,few clouds
57,Jodhpur,IN,26.29,73.03,88.21,62,32,13.15,scattered clouds
58,Pacific Grove,US,36.62,-121.92,66.2,72,1,2.95,clear sky
59,Joshimath,IN,30.57,79.57,74.03,50,9,4.32,light rain
60,Dalaba,GN,10.7,-12.25,61.75,100,100,2.19,overcast clouds
61,Qaanaaq,GL,77.48,-69.36,36.54,86,100,2.35,overcast clouds
62,Brigantine,US,39.41,-74.36,73.99,88,1,6.55,clear sky
63,Nanortalik,GL,60.14,-45.24,43.63,82,0,0.45,clear sky
64,Yellowknife,CA,62.46,-114.35,57.0,66,40,9.17,scattered clouds
65,Mahebourg,MU,-20.41,57.7,71.6,73,75,16.11,broken clouds
66,Alta Floresta,BR,-9.88,-56.09,73.56,45,20,3.44,few clouds
67,Nemuro,JP,43.32,145.57,73.4,73,75,11.41,broken clouds
68,Atuona,PF,-9.8,-139.03,78.62,76,4,18.03,clear sky
69,Starkville,US,33.45,-88.82,71.6,94,1,1.61,clear sky
70,Alihe,CN,50.57,123.72,69.6,70,100,7.72,overcast clouds
71,Alto Araguaia,BR,-17.31,-53.22,58.91,70,5,6.76,clear sky
72,Saint Anthony,US,45.02,-93.22,77.0,88,1,5.82,clear sky
73,Padang,ID,-0.95,100.35,81.46,76,100,3.53,light rain
74,Saldanha,ZA,-33.01,17.94,41.0,93,1,1.12,clear sky
75,Vila,PT,42.03,-8.16,55.0,92,0,3.76,clear sky
76,Pevek,RU,69.7,170.31,38.1,97,100,4.72,overcast clouds
77,Lompoc,US,34.64,-120.46,69.01,77,1,2.98,clear sky
78,Sitka,US,57.05,-135.33,59.0,87,90,4.7,overcast clouds
79,Provideniya,RU,64.38,-173.3,51.69,80,100,6.15,light rain
80,College,US,64.86,-147.8,73.4,46,40,4.7,shower rain
81,Medea,DZ,36.26,2.75,71.6,83,40,3.36,scattered clouds
82,Lusambo,CD,-4.97,23.45,69.58,92,50,1.9,scattered clouds
83,Lata,PT,40.16,-8.33,64.99,94,1,3.0,clear sky
84,Chokurdakh,RU,70.63,147.92,39.74,75,100,8.52,overcast clouds
85,Ust-Nera,RU,64.57,143.2,48.38,47,100,5.37,overcast clouds
86,Fairbanks,US,64.84,-147.72,73.4,38,75,8.05,broken clouds
87,Sao Filipe,CV,14.9,-24.5,78.6,80,36,4.12,scattered clouds
88,Saint-Philippe,RE,-21.36,55.77,71.6,49,33,6.93,scattered clouds
89,Mount Gambier,AU,-37.83,140.77,53.6,62,75,14.99,broken clouds
90,Bonavista,CA,48.65,-53.11,57.0,85,38,8.01,scattered clouds
91,Ouargaye,BF,11.5,0.06,73.11,91,84,8.39,broken clouds
92,Lahij,YE,13.17,44.58,85.41,52,80,2.84,broken clouds
93,Port Lincoln,AU,-34.73,135.87,55.4,51,32,9.8,scattered clouds
94,Aksu,CN,41.12,80.26,83.93,26,0,3.96,clear sky
95,Avarua,CK,-21.21,-159.78,75.2,73,2,8.05,clear sky
96,Coihaique,CL,-45.58,-72.07,46.4,65,100,5.82,light rain
97,Kunming,CN,25.04,102.72,73.99,73,75,15.66,broken clouds
98,Mar Del Plata,AR,-38.0,-57.56,48.99,61,0,9.17,clear sky
99,Makinsk,KZ,52.63,70.42,55.53,86,53,7.72,broken clouds
100,East London,ZA,-33.02,27.91,48.2,66,0,4.7,clear sky
101,Mbini,GQ,1.57,9.61,75.65,85,100,10.85,overcast clouds
102,Souillac,MU,-20.52,57.52,71.6,73,75,16.11,broken clouds
103,Flin Flon,CA,54.77,-101.86,56.21,67,81,11.14,light rain
104,Port Hawkesbury,CA,45.62,-61.35,54.0,93,75,4.7,broken clouds
105,Great Bend,US,38.36,-98.76,73.99,73,1,8.05,clear sky
106,Quesnel,CA,53.0,-122.5,55.4,87,90,2.24,overcast clouds
107,Tyret Pervaya,RU,53.67,102.31,56.01,89,100,13.42,overcast clouds
108,Saint-Paul-Les-Dax,FR,43.73,-1.05,61.0,93,57,1.03,broken clouds
109,Catamarca,AR,-28.47,-65.79,53.58,37,0,16.44,clear sky
110,Hithadhoo,MV,-0.6,73.08,83.39,79,6,13.73,light rain
111,Thiruvananthapuram,IN,8.48,76.92,86.0,74,40,6.93,scattered clouds
112,Northam,GB,51.03,-4.22,61.0,92,87,11.99,light rain
113,Cabo San Lucas,MX,22.89,-109.91,82.99,74,86,4.0,overcast clouds
114,Salalah,OM,17.02,54.09,75.2,100,90,4.7,light intensity drizzle
115,Isangel,VU,-19.55,169.27,86.0,66,20,9.17,few clouds
116,Port Alfred,ZA,-33.59,26.89,56.77,85,0,11.23,clear sky
117,Tuktoyaktuk,CA,69.45,-133.04,48.2,93,20,9.17,few clouds
118,Castro,BR,-24.79,-50.01,39.58,91,0,6.69,clear sky
119,Sayyan,YE,15.17,44.32,65.97,58,53,4.52,broken clouds
120,Cherskiy,RU,68.75,161.3,35.98,95,100,20.58,overcast clouds
121,Manzil Salim,TN,35.86,8.48,66.2,45,0,2.24,clear sky
122,Vila Franca Do Campo,PT,37.72,-25.43,68.0,82,20,2.24,few clouds
123,Upernavik,GL,72.79,-56.15,44.31,70,81,4.47,broken clouds
124,Kapaa,US,22.08,-159.32,84.2,66,90,12.75,overcast clouds
125,Surt,LY,31.21,16.59,77.13,71,0,6.87,clear sky
126,Elat,IL,29.56,34.95,76.28,59,0,8.19,clear sky
127,Manavalakurichi,IN,8.13,77.3,86.0,74,40,6.93,scattered clouds
128,Keelung,TW,25.13,121.74,87.8,70,75,18.34,broken clouds
129,Stornoway,GB,58.21,-6.39,50.0,93,29,9.17,scattered clouds
130,Hofn,IS,64.25,-15.21,49.37,60,0,6.87,clear sky
131,Xuddur,SO,4.12,43.89,72.3,71,70,17.54,broken clouds
132,Kavieng,PG,-2.57,150.8,80.96,74,100,2.55,overcast clouds
133,Cayenne,GF,4.93,-52.33,75.2,100,6,5.39,clear sky
134,Puerto Del Rosario,ES,28.5,-13.86,77.0,65,0,8.05,clear sky
135,Sarangani,PH,5.4,125.46,84.34,73,99,10.33,overcast clouds
136,Paragominas,BR,-2.97,-47.48,70.38,98,0,2.46,clear sky
137,Romilly-Sur-Seine,FR,48.51,3.73,64.4,72,6,13.87,clear sky
138,Melfort,CA,52.87,-104.62,62.6,93,90,6.93,overcast clouds
139,Chuy,UY,-33.7,-53.46,44.82,76,0,5.84,clear sky
140,Termoli,IT,41.99,14.99,78.01,46,0,1.99,clear sky
141,Nador,MA,35.17,-2.93,78.8,50,10,2.66,clear sky
142,Tarata,BO,-17.62,-66.02,55.4,50,0,3.36,clear sky
143,Narsaq,GL,60.92,-46.05,44.6,75,0,3.36,clear sky
144,Jalu,LY,29.03,21.55,72.28,58,0,8.61,clear sky
145,Kaeo,NZ,-35.1,173.78,59.0,3,98,5.99,moderate rain
146,Camacha,PT,33.08,-16.33,71.6,73,20,8.05,few clouds
147,Asyut,EG,27.18,31.18,75.2,64,0,9.17,clear sky
148,New Norfolk,AU,-42.78,147.06,54.0,84,49,1.99,light rain
149,Tame,CO,6.46,-71.73,70.75,91,53,1.95,broken clouds
150,Bengkulu,ID,-3.8,102.27,85.26,63,81,5.03,broken clouds
151,Olafsvik,IS,64.89,-23.71,49.71,67,96,6.51,overcast clouds
152,Kingsville,US,27.52,-97.86,82.0,74,20,8.05,few clouds
153,Talnakh,RU,69.49,88.4,62.6,59,100,6.71,overcast clouds
154,Kruisfontein,ZA,-34.0,24.73,48.7,92,0,6.26,clear sky
155,Victoria,HK,22.29,114.16,89.6,62,20,6.93,few clouds
156,Yar-Sale,RU,66.83,70.83,52.11,96,96,11.61,moderate rain
157,Rawson,AR,-43.3,-65.1,55.27,40,0,15.37,clear sky
158,Pushkino,RU,56.02,37.87,61.0,76,47,2.24,scattered clouds
159,Batsfjord,NO,70.63,29.72,59.76,82,77,15.82,broken clouds
160,Mackenzie,CA,55.3,-123.17,55.4,71,90,9.17,overcast clouds
161,Kendari,ID,-3.94,122.5,84.2,60,41,6.89,scattered clouds
162,Mount Isa,AU,-20.73,139.5,73.4,15,24,10.29,few clouds
163,Arraial Do Cabo,BR,-22.97,-42.03,65.88,67,70,11.07,broken clouds
164,Dawson Creek,CA,55.77,-120.24,57.2,62,1,11.41,clear sky
165,Kpandae,GH,8.47,-0.01,71.37,97,51,7.7,broken clouds
166,Mecca,SA,21.43,39.83,86.45,37,22,5.03,few clouds
167,Shelabolikha,RU,53.41,82.62,59.0,77,40,11.18,scattered clouds
168,Thunder Bay,CA,48.4,-89.32,64.99,93,90,9.17,mist
169,Yinchuan,CN,38.47,106.27,65.1,80,100,9.57,moderate rain
170,Viedma,AR,-40.81,-63.0,52.0,39,0,5.99,clear sky
171,Cuenca,EC,-2.88,-78.98,51.8,100,94,3.36,overcast clouds
172,Liberty,US,31.83,-81.5,75.99,100,75,2.51,broken clouds
173,Vila Velha,BR,-20.33,-40.29,62.6,93,90,12.75,overcast clouds
174,Arlit,NE,18.74,7.39,91.02,39,75,11.3,broken clouds
175,Ribeira Grande,PT,38.52,-28.7,72.52,87,100,8.55,overcast clouds
176,Tahara,JP,34.67,137.27,90.0,65,98,1.01,overcast clouds
177,Korla,CN,41.76,86.15,84.2,24,1,5.41,clear sky
178,Pleasanton,US,37.66,-121.87,80.6,36,90,11.41,smoke
179,Torbay,CA,47.67,-52.73,59.0,82,5,13.87,clear sky
180,Luderitz,NA,-26.65,15.16,59.14,37,0,10.71,clear sky
181,Port Hedland,AU,-20.32,118.57,95.0,8,0,8.05,clear sky
182,Uva,RU,56.99,52.19,57.0,88,0,1.99,clear sky
183,Chiang Klang,TH,19.29,100.86,80.6,88,75,3.36,broken clouds
184,Lavrentiya,RU,65.58,-171.0,47.1,94,100,6.55,overcast clouds
185,Maniitsoq,GL,65.42,-52.9,46.38,87,25,1.61,scattered clouds
186,Tomatlan,MX,19.93,-105.25,78.06,93,84,0.58,light rain
187,Hami,CN,42.8,93.45,85.89,17,4,5.79,clear sky
188,Manono,CD,-7.3,27.42,75.16,42,78,8.63,broken clouds
189,Banbury,GB,52.06,-1.34,57.99,89,49,13.6,scattered clouds
190,Coquimbo,CL,-29.95,-71.34,50.0,93,99,2.24,overcast clouds
191,Batagay,RU,67.63,134.63,46.49,56,100,5.37,overcast clouds
192,Pisco,PE,-13.7,-76.22,60.8,82,90,9.17,overcast clouds
193,Mednogorsk,RU,51.41,57.59,57.99,69,0,6.22,clear sky
194,Kutum,SD,14.2,24.67,71.29,78,61,7.7,broken clouds
195,Kaitangata,NZ,-46.28,169.85,52.0,85,68,11.01,broken clouds
196,Santa Luzia,BR,-19.77,-43.85,57.2,76,75,6.93,broken clouds
197,Constitucion,CL,-35.33,-72.42,52.66,84,100,18.79,overcast clouds
198,Avera,US,33.19,-82.53,73.4,94,1,4.9,clear sky
199,Broome,US,42.25,-75.83,69.8,73,1,5.82,clear sky
200,Volgodonsk,RU,47.51,42.15,66.47,56,0,11.54,clear sky
201,Zhigansk,RU,66.77,123.37,50.52,54,67,20.29,broken clouds
202,San Patricio,MX,19.22,-104.7,80.08,88,56,2.06,broken clouds
203,Porto Novo,BJ,6.5,2.6,75.2,94,40,8.05,scattered clouds
204,Araouane,ML,18.9,-3.53,91.0,49,11,17.54,few clouds
205,Fort Nelson,CA,58.81,-122.7,57.2,93,90,8.05,light rain
206,Airai,TL,-8.93,125.41,78.39,33,31,7.45,scattered clouds
207,Kilindoni,TZ,-7.91,39.67,76.77,76,100,14.81,light rain
208,Laguna,US,38.42,-121.42,84.99,42,1,5.82,haze
209,Merauke,ID,-8.47,140.33,81.21,67,7,15.03,clear sky
210,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,72.41,81,28,1.83,scattered clouds
211,Ostrovnoy,RU,68.05,39.51,60.53,72,63,16.98,broken clouds
212,Genhe,CN,50.78,121.52,66.74,81,100,6.58,moderate rain
213,Port Elizabeth,ZA,-33.92,25.57,53.6,100,6,6.93,clear sky
214,Banjar,ID,-8.19,114.97,82.4,88,20,16.11,few clouds
215,La Seyne-Sur-Mer,FR,43.1,5.88,73.99,49,0,8.01,clear sky
216,Chara,RU,56.91,118.26,63.05,58,98,4.34,light rain
217,San Carlos,VE,9.66,-68.58,71.87,96,100,2.28,heavy intensity rain
218,Lorengau,PG,-2.02,147.27,83.59,73,8,0.54,moderate rain
219,Bowen,AU,-20.02,148.23,75.2,29,61,13.87,broken clouds
220,Derzhavinsk,KZ,51.1,66.32,60.49,73,27,3.58,scattered clouds
221,Pawayan,IN,28.07,80.1,84.58,75,1,11.48,light rain
222,Fasa,IR,28.94,53.65,68.0,42,8,1.28,clear sky
223,Coxcatlan,MX,18.27,-97.15,68.63,79,18,3.89,few clouds
224,Namibe,AO,-15.2,12.15,61.95,88,2,5.08,clear sky
225,Hluti,SZ,-27.22,31.62,49.93,53,0,3.87,clear sky
226,Kavaratti,IN,10.57,72.64,84.2,79,20,6.93,few clouds
227,Jacqueville,CI,5.21,-4.41,77.0,94,75,8.05,broken clouds
228,Thompson,CA,55.74,-97.86,50.0,76,75,4.7,broken clouds
229,Kantang,TH,7.41,99.52,86.0,74,40,4.7,scattered clouds
230,Kysyl-Syr,RU,63.9,122.76,58.51,38,0,6.69,clear sky
231,Aryanah,TN,36.86,10.19,80.6,65,33,10.29,scattered clouds
232,Ola,RU,59.58,151.28,54.57,47,99,3.87,overcast clouds
233,Yuma,US,32.73,-114.62,95.0,39,1,5.82,clear sky
234,Peremyshlyany,UA,49.67,24.56,59.0,93,0,3.6,clear sky
235,Pala,TD,9.36,14.9,70.92,97,100,6.22,light rain
236,Gola Gokarannath,IN,28.08,80.47,84.52,76,6,11.36,light rain
237,Mildura,AU,-34.2,142.15,59.0,54,40,16.11,scattered clouds
238,Honningsvag,NO,70.98,25.97,56.05,89,75,14.03,broken clouds
239,Longyearbyen,SJ,78.22,15.64,35.6,74,68,8.05,broken clouds
240,Beringovskiy,RU,63.05,179.32,55.99,77,65,14.25,light rain
241,Diego De Almagro,CL,-26.37,-70.05,42.66,71,0,1.1,clear sky
242,Tessalit,ML,20.2,1.01,89.11,42,1,14.2,clear sky
243,Belmonte,BR,-15.86,-38.88,69.8,77,75,6.93,broken clouds
244,Yakhroma,RU,56.3,37.48,57.2,76,49,2.24,scattered clouds
245,Ibra,OM,22.69,58.53,83.44,60,56,1.79,broken clouds
246,Aquin,HT,18.28,-73.4,81.55,78,61,5.95,broken clouds
247,Santa Maria,BR,-29.68,-53.81,46.4,87,0,6.93,clear sky
248,Rincon,US,32.3,-81.24,78.8,88,75,2.93,broken clouds
249,Suoyarvi,RU,62.08,32.35,58.44,95,100,12.55,moderate rain
250,Gambo,CF,4.65,22.26,69.49,98,100,1.23,moderate rain
251,Yanji,CN,42.91,129.51,79.45,53,100,4.79,overcast clouds
252,Sheridan,US,44.83,-106.92,71.6,37,1,2.08,clear sky
253,Bubaque,GW,11.28,-15.83,80.15,83,93,10.78,overcast clouds
254,Bereda,ES,43.27,-7.54,57.0,100,2,1.01,clear sky
255,Santa Cruz,BO,-17.8,-63.17,53.6,81,75,3.36,broken clouds
256,Vaitape,PF,-16.52,-151.75,76.96,80,4,21.7,light rain
257,Auki,SB,-8.77,160.7,82.31,78,92,6.51,moderate rain
258,Buraydah,SA,26.33,43.98,86.0,27,22,16.11,few clouds
259,Yulara,AU,-25.24,130.99,71.6,23,0,5.82,clear sky
260,Artyom,AZ,40.47,50.33,66.2,77,75,25.28,light intensity shower rain
261,Gebre Guracha,ET,9.8,38.4,54.25,98,93,1.12,overcast clouds
262,Caravelas,BR,-17.71,-39.25,68.95,90,100,16.82,light rain
263,Sibolga,ID,1.74,98.78,84.38,60,96,4.23,overcast clouds
264,Tshikapa,CD,-6.42,20.8,72.75,78,6,2.26,clear sky
265,Bol,TD,13.46,14.71,80.37,81,100,10.87,light rain
266,Gornopravdinsk,RU,60.05,69.9,55.15,86,79,8.19,broken clouds
267,Pangnirtung,CA,66.15,-65.71,48.45,69,38,1.52,scattered clouds
268,San Quintin,MX,30.48,-115.95,75.09,73,1,2.51,clear sky
269,Bongandanga,CD,1.5,21.05,70.09,98,99,2.13,overcast clouds
270,Saint-Raymond,CA,45.47,-73.61,72.0,64,75,4.7,broken clouds
271,Ilulissat,GL,69.22,-51.1,39.2,80,0,4.94,clear sky
272,Koslan,RU,63.46,48.9,60.96,83,0,2.95,clear sky
273,Bastia,FR,42.67,9.33,75.0,83,20,2.24,few clouds
274,Abay,KZ,49.63,72.85,60.8,67,47,4.47,scattered clouds
275,Norman Wells,CA,65.28,-126.83,62.6,59,20,5.82,few clouds
276,Kunashak,RU,55.7,61.55,53.6,93,75,11.18,broken clouds
277,Luau,AO,-10.71,22.22,66.7,39,28,6.91,scattered clouds
278,Dubbo,AU,-32.25,148.62,51.8,62,90,19.46,overcast clouds
279,Grand Gaube,MU,-20.01,57.66,71.01,76,69,5.99,light rain
280,Nueva Gerona,CU,21.88,-82.8,83.64,78,84,9.71,broken clouds
281,Iralaya,HN,15.0,-83.23,81.03,84,74,9.33,broken clouds
282,Vuktyl,RU,63.86,57.31,52.7,76,97,6.31,overcast clouds
283,Chapais,CA,49.78,-74.85,55.4,87,75,3.36,broken clouds
284,Bulalacao,PH,12.33,121.34,85.53,70,100,8.1,overcast clouds
285,Zeerust,ZA,-25.54,26.08,41.0,75,0,3.36,clear sky
286,Rabkavi,IN,16.47,75.1,78.78,74,100,15.52,overcast clouds
287,Tancheng,CN,27.44,115.5,92.86,60,6,1.7,light rain
288,Sur,OM,22.57,59.53,84.09,67,65,12.66,broken clouds
289,Koubia,GN,11.58,-11.9,66.76,96,96,3.02,overcast clouds
290,Severo-Kurilsk,RU,50.68,156.12,56.73,62,27,11.68,scattered clouds
291,Puri,IN,19.8,85.85,84.2,94,75,6.93,haze
292,Khonsa,IN,27.02,95.57,76.78,92,70,2.15,moderate rain
293,Goderich,CA,43.75,-81.72,75.99,65,98,8.75,overcast clouds
294,Neiafu,TO,-18.65,-173.98,80.6,78,40,13.87,scattered clouds
295,Palana,RU,59.12,159.97,47.41,72,94,8.16,overcast clouds
296,San Carlos De Bariloche,AR,-41.15,-71.31,33.8,64,9,3.36,clear sky
297,Vavuniya,LK,8.75,80.5,89.28,51,56,7.83,broken clouds
298,Port Arthur,CN,38.8,121.27,78.8,74,40,8.95,scattered clouds
299,Thongwa,MM,16.76,96.53,80.6,83,90,11.41,overcast clouds
300,Tasiilaq,GL,65.61,-37.64,39.2,80,0,3.36,clear sky
301,Lima,PE,-12.04,-77.03,60.8,82,90,9.17,overcast clouds
302,Ketchikan,US,55.34,-131.65,55.4,100,90,11.41,moderate rain
303,Qasigiannguit,GL,68.82,-51.19,39.2,80,0,1.7,clear sky
304,The Valley,AI,18.22,-63.06,82.4,83,20,16.11,few clouds
305,Emerald,AU,-23.53,148.17,72.0,18,0,4.7,clear sky
306,Bandarbeyla,SO,9.49,50.81,78.69,61,71,32.35,broken clouds
307,Silale,LT,55.49,22.18,60.64,95,75,4.47,broken clouds
308,Saint-Francois,FR,46.42,3.91,60.8,77,34,4.7,scattered clouds
309,Rio Gallegos,AR,-51.62,-69.22,35.6,69,64,11.41,broken clouds
310,Katherine,AU,-14.47,132.27,91.4,17,0,12.75,clear sky
311,Vanimo,PG,-2.67,141.3,87.13,58,19,6.02,few clouds
312,Katsuura,JP,35.13,140.3,81.0,83,75,5.82,broken clouds
313,Egvekinot,RU,66.32,-179.17,47.86,96,100,7.02,light rain
314,Comodoro Rivadavia,AR,-45.87,-67.5,53.6,62,99,13.2,overcast clouds
315,Leningradskiy,RU,69.38,178.42,51.44,70,50,6.8,scattered clouds
316,Lebu,CL,-37.62,-73.65,49.1,90,2,6.11,clear sky
317,Itigi,TZ,-5.7,34.48,58.78,75,91,10.8,overcast clouds
318,Igrim,RU,63.19,64.42,56.62,72,49,9.51,scattered clouds
319,Nantucket,US,41.28,-70.1,70.0,94,1,11.41,clear sky
320,Simao,CN,22.79,100.97,68.05,91,100,1.52,moderate rain
321,Sinjai,ID,-5.12,120.25,83.59,60,41,8.61,scattered clouds
322,Guerrero Negro,MX,27.98,-114.06,75.38,76,28,12.62,scattered clouds
323,Zemio,CF,5.03,25.14,68.56,97,100,2.64,light rain
324,Svetlaya,RU,46.54,138.33,71.31,61,22,8.66,few clouds
325,Asau,RO,46.43,26.4,61.0,88,0,1.97,clear sky
326,El Colomo,MX,19.05,-104.25,80.74,83,50,1.61,scattered clouds
327,Macapa,BR,0.04,-51.07,80.6,94,75,10.29,thunderstorm
328,Phangnga,TH,8.45,98.53,89.6,62,20,8.05,few clouds
329,Coahuayana,MX,18.73,-103.68,79.63,86,39,0.38,light rain
330,Bethel,US,41.37,-73.41,71.01,83,1,3.36,clear sky
331,Fortuna,US,40.6,-124.16,59.0,100,75,5.82,broken clouds
332,Turukhansk,RU,65.82,87.98,58.14,88,100,6.71,overcast clouds
333,Iskateley,RU,67.68,53.15,55.38,76,100,6.87,overcast clouds
334,Kawalu,ID,-7.38,108.21,85.66,55,31,5.55,scattered clouds
335,Dickinson,US,29.46,-95.05,75.2,88,1,3.71,clear sky
336,Saskylakh,RU,71.92,114.08,53.08,45,0,8.12,clear sky
337,Yerofey Pavlovich,RU,53.97,121.97,69.13,37,99,8.55,overcast clouds
338,Varhaug,NO,58.61,5.65,55.0,99,75,1.99,light rain
339,Anadyr,RU,64.75,177.48,53.6,81,40,20.13,scattered clouds
340,Toccoa,US,34.58,-83.33,71.01,94,75,1.25,broken clouds
